"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
58 7.36 15.52 8.43 8.59 11.29 9.95 2.81 4.95 6.72 6.67 8.88 3.23 6.86 5.28 16.28 24.04 1.47 9.63 8.58 12.76 6.16 2.15 2.55 16.52 12.61 9.65 18.9 0.91 21.98 6.29 7.13 9.01 0.22 2.66 6.29 2.48 10.1 2.3 18.94 1.43 10.89 11 4.6 1.19 6.57 6.39 21.23 4.35 6.12 7.48 4.74 4.88 15.21 1.7 18.22 0.17 1.38 5.76 0.0800000000000003 2.84 0.839999999999999 0.0899999999999992 21.96 3.94 3.3 2.26 4.24 9.65 2.86 4.23 1.03 5.65 4.02 2.55 4.75 7.76 10.65 6.61 9.86 2.43 4.99 7.87 6.35 3.45 4.59 10.86 11.19 16.49 8.57 11.55 4.71 11.01 3.65 2.62 2.83 11.69 3.59 7.72 1.44 3.85
61 19.61 15.27 26.13 16.8 15.04 9.96 2.07 18.54 9.04 2.74 1.82 24.34 20.35 18.65 2.51 6.97 19.68 7.19 6.77 10.37 22.69 21.89 1.09 16.99 18.84 16.69 23.06 25.29 9.68 14.66 0.45 3.75 5.96 20.14 3.67 0.109999999999999 9.77 9.88 18.11 18.22 5.49 19.74 10.8 27.87 6.01 6.5 3.73 13.1 5.83 5.07 7.54 4.46 6.22 10.4 9.9 6.35 7.59 16.49 21.05 20.11 4.39 17.84 13.34 19.18 13.62 17.33 0.85 21.33 13.29 2.37 11.71 9.44 3.34 2.1 13.54 15.54 14.39 23.03 6.71 3.12 18.85 17.67 8.58 4.79 14.28 2.63 3.3 6.58 7.72 0.0499999999999998 0.29 13.77 11.12 1.75 2.49 1.97 14.58 6.77 5.8 18.02
63 17.42 24.72 3.25 8.71 12.25 15.45 11.28 14.41 14.98 0.890000000000001 10.13 5.32 7.88 9.4 4.81 0.22 23.48 18.33 10.92 10.23 15.91 11.36 6.91 16.64 2.65 5.68 9.89 6.28 5.58 11.25 3.19 4.09 23.21 2.35 15.6 14.47 15.08 14.12 12.27 11.1 4.39 1.42 3.72 12.1 4.87 1.73 1 7.59 5.46 11.08 20.16 5.57 13.83 8.22 6.9 1.45 4.99 13.53 2.46 13.93 14.53 11.55 2.21 5 3.32 2.47 6.15 1.64 3.07 11.91 5.45 12.52 3.63 0.93 6.07 1.44 4.48 10.91 3.31 12.13 0.21 9.81 9.18 12.16 3.97 15.24 1.15 1.19 7.07 7.96 2.99 10.27 14.26 0.12 4.32 0.87 12.57 1.34 0.4 2.14
70 18.07 18.35 10.04 4.19 12.17 13.31 9.54 13.18 6.54 2.65 14.1 9.83 0.0899999999999999 10.48 5.15 22.77 6.47 22.37 20.72 26.32 17.54 7.85 19.61 8.32 21.93 9.24 12.54 18.48 12.37 0.2 18.4 13 12.08 16.65 18.02 7.99 12 16.38 4.2 6.21 22.38 4.56 7.59 24.72 13.01 17.87 2.99 4.45 1.44 9.94 0.309999999999999 17.29 9.99 10.61 12.01 2.42 3.89 12.94 0.81 10.58 12.37 26.2 14.37 7.82 4.98 1.23 5.32 21.73 10.58 3.98 1.08 6.96 20.26 9.11 12.82 7.59 8.12 11.4 11.4 8.52 21.37 16.6 2.08 4.72 8.28 10.76 16.19 7.1 3.15 4.87 0.0699999999999994 2.49 6.79 6.37 3.66 6.48 3.39 3.15 4.98 5.66
72 7.33 18.11 13.97 3.92 3.7 6.14 6.01 3.53 1.38 6.18 9.69 3.77 7.25 12 1.54 0.91 8.24 13.34 19.7 10.74 13.52 1.15 6.66 10.38 10.26 10.28 11.74 5.93 5.07 2.39 7.08 5.19 5.39 4.04 1.62 2.12 8.59 3.16 15.32 0.13 3.22 13.89 15.5 5.84 2.76 12.34 1.32 5.01 19.29 14.43 3.98 0.93 2.38 14.1 14.7 15.28 7.58 3.83 5.96 3.05 16.33 12.6 3.82 1.57 2.32 14.56 1.74 4.52 14.93 1.98 5.89 8.07 14.82 3.44 15.65 14.21 12.18 6.92 4.77 9.05 7.9 7.68 3.09 5.92 2.04 0.5 7.06 10.07 6.51 14.94 4.66 3.14 3.12 3.09 1.77 5.31 10.06 12.83 1.84 0.669999999999999
74 24.08 12.86 17.02 23.8 7.1 24.13 17.77 9.89 13.45 23.48 16.76 14.06 19.11 18.24 4.6 10.62 9.06 22.24 15.11 23.36 5.06 20.36 13.54 21.96 5.27 18.83 19.24 8.4 9.3 9.91 15.82 5.87 24.83 6.25 14.21 7.9 17.26 14.09 13.16 14.7 6.49 12.83 21.1 11.43 10.09 10.18 4.36 4.61 13.11 12.36 22.29 3.39 12.36 10.91 17.22 10.9 18.06 20.63 9.51 14.84 6.87 18.06 6.08 12.8 22.17 15.49 17.88 7.54 1.2 4.47 12.97 8 23.77 22.95 5.8 0.81 7.9 11.86 10.61 12.98 6.46 9.26 5.38 2.85 5.3 3.18 15.31 9.83 6.87 16.87 0.86 2.65 17.32 0.94 0.00999999999999979 11.1 0.64 6.89 1.92 2.99
76 16.15 20.04 9.98 16.32 8.58 8.98 21.58 4.4 16.03 4.95 16.76 6.76 5.79 5.5 18.85 22.36 6.9 11.42 16.01 10.23 21.75 4.8 20.1 15.87 9.67 12.64 3.58 8.97 27.17 7.73 11.61 24.62 11.11 14.55 1.48 26.14 0.62 23.62 18.02 25.25 5.87 2.53 24.41 10.85 6.36 13.75 6.15 17.03 6.35 18.61 25.45 9.33 4.35 10.64 11.61 24.34 2.7 13.7 5.66 6.58 4.51 8.46 20.45 0.69 2.78 9.53 8.55 6.74 9.13 11.66 24.95 11.25 5.17 6.96 6.49 9.91 9.16 16.81 3.54 11.28 16.25 1.27 15 14.42 0.8 12.69 6.33 18.93 14.55 15.77 2.58 15.98 4.84 1.61 12.32 22.56 3.64 1.87 12.22 3.93
78 22.93 7.88 18.11 27.32 21.3 23.47 12.73 5.7 18.89 25.87 15.18 8.79 15.58 9.63 6.4 11.83 28.03 11.79 10.71 16.5 22.64 18.35 12.34 5.7 9 18.87 10.95 1.24 14.56 24.39 3.19 3.35 13.31 3.32 2.57 16.33 5.15 5.07 23.95 8.77 19.94 15.03 1.9 13.26 21.16 9.93 17.19 23.6 20.58 25.02 1.54 22.65 6.28 18.66 5.24 14.03 8.13 8.57 6.79 11.21 19 8.5 9.92 12.48 10.67 22.61 2.97 12.62 15.59 10.24 14.92 7.57 8.34 6.75 8.14 23.28 2.62 7.86 15.5 20.68 17.33 13.36 8.85 8.69 9.12 10.94 3.54 3.11 6.86 3.34 5.91 9.6 6.88 17.97 11.84 4.34 0.71 12.02 1.6 1.99
82 8.47 16.56 15.07 12.72 10.81 4.57 14.55 0.849999999999999 3.2 8.36 22.54 3.55 0.14 5.02 5.9 0.22 4.96 15.98 4.51 14.9 0.0999999999999998 23.66 13.49 13.88 26.18 11.51 7.77 3.2 13.57 11.73 10.92 7.21 10.87 28.18 2.67 1.96 6.58 16.92 4.83 21.13 5.62 12.71 3.9 16.36 15.39 8.04 6.76 27.33 4.87 13.62 21.23 0.0300000000000002 7.62 12.44 27.22 3.1 0.81 10.68 9.81 24.64 27.03 1.33 20.63 0.89 9.8 16.65 9.06 2.51 22.09 15.3 14.73 7.88 9.26 4.58 10.02 4.67 21.58 18.38 22.34 0.3 19.68 17.43 7.61 8.2 15.73 8.76 3.34 3.17 3.12 0.23 6.13 21.22 0.0800000000000001 1.21 18.95 14.99 3.84 4.73 4.44 4.72
86 13.49 17.64 6.87 11.19 25.61 14.96 13.87 23 0.99 22.05 7.09 13.27 8.91 16.72 10.34 23.27 12.08 24.3 10.72 10.44 12.92 22.82 11.27 18.73 22.1 14.19 15.08 23.95 23.5 27.46 12.36 18.38 25.81 20.72 6.09 18.09 11.16 20.67 19.9 19.15 11.33 11.52 18.54 8.44 14.11 20.14 14.34 17.34 24.54 16.34 15.15 19.32 16.66 23.21 2.66 19.94 27.41 6.9 19.93 3.22 4.43 12.69 16.92 13.36 14.27 20.05 21.34 13.33 7.26 25.46 11.44 23.37 19.36 10.65 24.1 22.2 1.56 3.96 14.73 7.73 26.8 0.0599999999999987 6.63 7.5 10.41 22.1 10.27 18.94 26.8 11.98 9.97 8.14 3.35 3.25 24.89 12.43 2.42 8.81 13.3 22.57
