"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
58,6.29,9.65,6.67,16.52,18.9,10.86,2.86,5.28,9.63,4.35,7.36,1.47,6.39,16.28,6.16,21.23,2.48,15.52,2.66,24.04,10.65,10.89,11.29,6.72,8.58,4.95,2.55,2.3,21.96,2.15,8.88,1.19,7.87,4.6,9.95,3.23,8.43,2.81,2.43,11,7.72,7.48,8.59,1.38,8.57,6.86,15.21,4.23,2.84,0.91,0.0800000000000003,3.94,9.86,6.61,4.74,18.22,6.12,21.98,4.24,9.65,7.13,11.69,3.3,5.65,10.1,1.7,11.01,4.88,9.01,2.55,12.61,18.94,0.22,2.26,6.57,16.49,6.29,11.55,1.03,1.43,3.45,3.65,4.75,12.76,3.59,7.76,4.59,4.71,0.0899999999999992,4.99,2.62,0.839999999999999,11.19,4.02,2.83,0.17,3.85,5.76,1.44,6.35
61,9.04,16.8,24.34,9.96,22.69,2.07,3.67,0.109999999999999,16.99,20.35,18.65,18.11,25.29,3.75,18.54,18.84,26.13,14.66,9.68,21.89,5.07,19.61,9.88,15.27,17.33,6.97,2.51,3.73,2.74,19.68,9.77,9.44,6.22,10.37,15.04,6.77,19.74,6.35,6.58,6.5,10.4,13.62,6.01,16.69,23.06,1.97,13.1,4.46,27.87,20.11,11.71,3.12,5.96,3.34,19.18,0.85,18.22,13.29,15.54,13.54,7.59,1.09,23.03,17.84,20.14,7.72,1.82,9.9,3.3,21.33,11.12,13.77,5.49,13.34,18.85,14.39,4.79,8.58,21.05,17.67,2.49,6.71,2.37,7.19,5.83,0.45,14.28,2.1,2.63,7.54,10.8,16.49,6.77,0.0499999999999998,4.39,18.02,0.29,1.75,5.8,14.58
63,12.25,11.28,10.92,24.72,23.48,4.81,0.22,10.13,15.45,14.98,15.91,16.64,7.88,5.32,17.42,9.89,8.71,14.47,5.68,3.25,18.33,20.16,9.4,13.83,2.35,14.41,23.21,3.72,6.28,15.08,14.12,3.19,11.1,3.63,11.25,11.55,0.890000000000001,5,12.27,14.53,13.53,6.9,11.08,1.73,2.46,6.07,4.99,3.32,5.57,2.65,10.23,7.59,1.45,7.07,6.91,6.15,0.12,15.24,15.6,4.39,5.46,9.81,4.87,13.93,0.93,5.58,1.42,0.87,3.07,10.27,12.1,1,1.64,0.21,11.91,2.47,1.15,10.91,4.48,12.57,4.09,11.36,1.44,2.99,3.31,12.13,14.26,12.16,8.22,1.34,12.52,5.45,2.21,3.97,9.18,1.19,0.4,2.14,4.32,7.96
70,18.35,22.37,22.77,2.42,12.17,13.31,7.82,8.32,17.87,22.38,5.15,10.61,13.18,17.54,13,6.54,9.54,10.04,24.72,17.29,4.56,2.65,18.02,12.37,26.32,7.99,9.83,7.1,13.01,18.48,18.07,12.54,21.73,14.1,3.98,4.19,12,16.65,20.72,10.48,16.6,18.4,21.93,4.45,7.59,6.47,2.99,21.37,12.94,16.38,1.23,19.61,6.21,0.81,9.94,9.99,1.44,4.87,0.309999999999999,0.0899999999999999,6.96,9.11,9.24,12.01,11.4,7.85,0.2,26.2,12.37,7.59,14.37,2.08,3.15,12.82,5.32,3.15,10.58,4.98,12.08,3.66,2.49,8.12,11.4,0.0699999999999994,10.76,6.37,20.26,3.89,16.19,8.28,6.79,8.52,4.72,1.08,4.2,6.48,10.58,3.39,4.98,5.66
72,18.11,14.21,3.77,0.91,5.96,3.7,12.18,8.07,3.53,12,13.97,5.92,6.66,6.01,6.14,6.92,13.52,1.15,1.54,4.04,0.93,7.33,5.93,13.89,2.39,3.22,3.98,8.59,3.05,5.07,19.29,3.92,14.7,14.1,7.58,1.38,13.34,3.82,2.76,3.44,0.13,5.19,12.6,10.74,2.32,3.16,1.74,15.5,14.43,19.7,7.08,2.12,6.51,9.05,7.9,10.26,5.89,14.82,5.39,10.07,9.69,12.83,5.01,1.32,15.65,0.5,10.38,3.14,11.74,4.52,2.38,5.84,7.25,8.24,15.28,4.77,0.669999999999999,6.18,15.32,1.57,14.94,3.09,1.77,10.06,1.62,10.28,5.31,1.98,16.33,4.66,3.83,14.93,1.84,7.06,3.09,3.12,7.68,12.34,14.56,2.04
74,24.13,9.06,24.08,12.86,14.7,20.63,19.11,16.76,7.1,17.02,18.24,15.49,22.24,22.17,14.21,20.36,5.06,10.09,5.27,6.25,4.6,23.8,15.11,7.9,9.3,21.96,9.89,13.45,13.16,24.83,5.87,21.1,10.9,23.48,12.36,18.06,9.91,13.54,19.24,9.51,10.61,8.4,14.84,12.83,23.36,17.77,8,12.36,15.82,12.8,18.83,14.06,17.22,13.11,11.43,18.06,10.62,4.36,6.08,16.87,22.29,3.39,0.86,7.54,10.18,11.86,14.09,6.87,15.31,23.77,7.9,17.26,2.65,2.85,12.97,17.88,0.00999999999999979,4.61,12.98,11.1,0.81,5.38,4.47,3.18,6.89,1.2,6.46,22.95,9.26,6.87,6.49,10.91,5.3,17.32,5.8,1.92,0.64,9.83,0.94,2.99
76,9.67,5.79,16.03,13.75,16.15,21.58,8.98,16.76,9.98,24.95,27.17,11.61,18.61,20.45,24.62,4.51,8.58,23.62,18.85,22.36,8.97,20.04,11.11,26.14,6.58,15.77,2.53,8.55,14.55,21.75,11.42,6.74,17.03,6.15,3.58,10.85,0.62,1.27,2.7,16.25,10.64,6.96,6.76,9.91,0.8,24.34,7.73,12.64,25.25,11.25,13.7,20.1,4.95,6.36,6.9,4.35,14.42,16.32,11.61,4.4,3.54,5.87,16.01,6.35,18.02,22.56,5.5,9.13,2.78,15.87,5.17,14.55,1.48,24.41,4.8,10.23,11.28,15.98,12.69,6.33,11.66,12.32,9.33,4.84,15,25.45,8.46,2.58,9.53,18.93,1.87,6.49,0.69,3.64,5.66,12.22,1.61,9.16,3.93,16.81
78,18.89,7.88,28.03,14.56,18.35,12.73,27.32,13.31,5.15,22.93,15.03,24.39,9.63,6.4,10.71,5.7,10.24,15.58,10.95,9.93,23.47,21.3,2.57,6.79,3.32,17.19,12.34,2.62,9,15.5,14.03,1.54,23.6,8.57,11.21,16.5,11.79,18.11,5.24,22.64,13.26,23.95,19.94,22.65,6.28,8.85,8.14,21.16,9.92,5.07,25.87,16.33,18.87,18.66,23.28,8.34,25.02,12.62,8.77,8.5,17.33,22.61,1.24,12.48,20.68,7.86,9.12,15.59,2.97,6.75,7.57,20.58,17.97,6.88,0.71,8.69,3.34,5.7,13.36,3.19,12.02,3.54,5.91,15.18,10.67,3.35,9.6,11.83,8.13,1.99,6.86,8.79,19,4.34,1.9,14.92,3.11,10.94,1.6,11.84
82,10.81,11.73,18.38,13.57,26.18,10.02,8.36,19.68,0.22,3.2,9.81,0.0800000000000001,5.02,12.44,13.62,16.56,10.68,4.96,4.51,15.07,22.54,28.18,10.92,27.33,3.2,6.76,14.9,15.39,4.83,8.47,13.88,13.49,0.0999999999999998,4.57,21.22,14.55,8.04,22.09,0.14,2.51,3.12,12.71,12.72,3.1,4.87,5.62,22.34,0.81,15.73,6.58,5.9,1.21,7.21,3.55,16.65,10.87,21.13,16.36,24.64,11.51,3.9,21.23,4.72,3.34,0.849999999999999,27.03,20.63,4.58,15.3,16.92,4.67,17.43,18.95,0.3,14.99,21.58,2.67,14.73,6.13,1.96,7.61,0.0300000000000002,7.62,9.26,15.98,27.22,23.66,8.2,9.8,3.17,9.06,3.84,0.89,7.77,8.76,4.73,0.23,7.88,1.33,4.44
86,12.92,23.95,18.73,13.87,14.11,20.72,12.08,3.96,17.34,22.82,23.27,23.5,6.87,14.73,22.05,11.33,27.46,11.27,16.34,14.96,8.91,19.94,22.2,0.99,19.9,4.43,27.41,10.34,18.38,11.44,25.61,10.44,13.49,16.92,21.34,24.54,18.09,6.09,11.16,17.64,11.52,16.72,2.66,18.54,22.1,20.67,7.09,19.32,14.19,9.97,7.26,24.3,13.36,10.72,20.14,1.56,14.34,23,3.22,25.81,22.1,20.05,19.15,25.46,16.66,14.27,18.94,6.9,23.37,7.73,23.21,15.15,12.36,13.27,10.65,8.44,15.08,11.19,26.8,8.14,11.98,13.33,6.63,12.69,10.27,19.93,24.1,7.5,19.36,10.41,0.0599999999999987,3.35,8.81,26.8,3.25,24.89,22.57,2.42,13.3,12.43
