"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
584,0.532000000000001,8.058,0.978000000000001,9.568,16.358,3.598,13.348,9.758,3.738,2.968,12.818,13.598,15.978,13.548,16.068,0.148000000000001,5.828,4.128,9.908,6.658,1.658,6.558,9.468,5.728,0.438,16.358,10.728,14.178,13.308,9.518,0.248,0.728000000000001,8.208,2.088,9.278,6.608,3.348,1.998,0.728000000000001,12.528,12.188,1.848,9.808,1.408,5.588,0.678,0.928,1.658,6.608,10.198,4.668,0.678,7.428,4.758,10.248,4.328,0.778,8.058,10.198,3.308,7.138,1.998,5.638,3.398,3.058,5.488,7.968,1.118,0.248,0.148000000000001,0.142,1.748,3.308,8.938,0.678,1.118,0.148000000000001,1.068,8.448,3.498,5.778,3.158,3.208,8.648,0.722,5.488,3.688,1.068,0.248,0.877999999999999,6.358,1.118,3.498,1.118,0.148000000000001,2.528,1.898,9.078,0.632,0.292000000000001
590,15.098,9.808,14.468,9.518,17.378,12.338,16.798,12.868,9.418,8.058,16.998,14.858,16.998,11.948,12.238,14.518,4.518,10.298,9.278,7.188,7.238,12.288,14.328,12.768,17.718,17.288,12.868,0.388000000000001,12.578,0.388000000000001,2.338,11.848,11.698,10.298,11.508,10.388,9.858,9.958,12.768,14.368,2.528,17.238,14.418,11.608,17.088,10.728,14.328,10.198,7.818,5.148,10.298,10.008,11.608,10.008,0.348,9.518,7.038,2.478,14.228,14.128,10.048,9.278,4.958,11.898,12.718,14.668,16.458,2.628,9.568,14.418,4.618,4.858,13.008,7.428,7.428,12.238,11.748,10.388,12.188,9.418,11.798,9.418,0.292000000000001,10.008,2.768,14.568,2.628,0.778,14.708,6.848,6.508,0.148000000000001,5.008,2.678,0.297999999999999,4.568,4.908,7.238,4.958,2.718
595,12.868,15.048,18.058,14.518,16.118,11.218,12.768,11.018,8.838,14.328,15.488,13.598,12.378,15.728,12.628,11.408,11.848,12.868,15.778,12.918,13.598,13.158,16.358,11.608,13.498,16.018,13.598,13.498,12.718,14.228,11.608,13.738,10.878,7.478,10.828,15.728,11.608,10.928,8.838,13.838,8.938,10.438,11.798,14.128,11.748,12.088,11.408,8.838,5.778,8.888,11.748,10.148,9.858,10.298,9.808,10.978,8.988,9.328,10.198,8.938,13.008,8.688,10.488,8.688,12.338,11.748,10.928,8.738,10.388,11.798,13.258,2.188,10.778,11.358,8.598,8.938,10.388,14.228,8.498,11.318,12.288,11.358,2.188,14.518,12.818,10.828,6.848,8.108,13.548,8.498,8.838,6.948,5.298,5.248,4.468,9.908,6.898,9.128,2.868,1.558
613,14.708,7.188,0.431999999999999,0.632,16.358,10.778,3.938,1.798,18.448,5.588,8.498,13.988,16.558,3.448,17.968,13.308,8.058,0.00800000000000012,8.788,5.878,7.718,4.228,0.722,2.288,11.608,12.238,4.668,4.228,7.628,4.128,14.228,12.138,7.868,16.168,9.708,18.258,11.798,4.518,4.618,4.908,4.328,10.978,13.688,9.568,13.258,8.348,4.128,6.608,13.158,16.358,0.672,16.608,0.348,2.718,14.808,12.718,4.228,5.148,1.558,9.758,0.388000000000001,2.478,0.242,0.148000000000001,3.548,1.358,4.908,0.191999999999999,12.578,0.0919999999999995,15.298,3.938,0.248,0.0919999999999995,2.138,0.632,18.308,0.582,15.198,0.582,1.898,1.408,0.632,3.548,10.248,0.148000000000001,5.828,1.658,0.388000000000001,0.778,0.148000000000001,1.948,0.582,3.108,18.158,0.582,0.0919999999999995,1.898,0.388000000000001,0.348
615,18.308,18.348,17.918,17.868,17.868,17.768,17.918,8.938,18.158,18.348,18.208,18.208,18.348,17.918,17.868,17.868,18.448,9.228,18.208,18.348,17.868,18.308,17.968,14.128,18.258,18.208,8.938,18.058,18.158,18.308,18.308,18.208,17.968,18.348,18.308,18.398,18.448,18.158,18.208,18.058,17.918,18.058,8.838,18.108,18.308,18.348,17.968,18.348,18.108,9.278,18.348,18.308,17.868,18.058,18.108,18.208,18.208,18.208,17.918,18.258,18.108,18.308,18.108,13.448,8.598,17.968,9.028,18.208,18.108,17.868,14.178,18.308,17.968,18.258,18.308,18.208,18.108,18.108,18.208,18.208,17.918,17.528,18.158,8.938,18.208,18.258,18.308,9.228,17.918,18.208,18.258,18.208,8.688,8.838,9.128,18.308,8.938,18.208,18.258,8.988
623,14.328,14.618,14.078,15.588,17.478,17.478,14.178,10.878,15.098,8.888,14.078,17.528,17.478,17.378,17.478,16.658,14.128,10.048,11.748,10.008,12.768,14.228,12.868,15.198,18.448,15.678,14.368,13.888,0.672,10.878,15.828,0.537999999999999,15.248,6.948,14.128,14.368,12.238,13.158,16.798,13.308,11.558,11.218,13.938,11.068,8.648,11.508,17.288,0.348,11.358,8.888,10.778,17.138,10.538,5.098,11.898,12.088,7.428,12.088,2.378,15.198,2.238,8.648,1.408,12.378,15.098,6.748,15.728,9.858,11.658,14.228,8.648,12.768,10.048,12.428,12.038,13.888,12.678,8.688,6.608,13.208,10.538,11.558,11.798,11.318,0.431999999999999,12.918,4.518,15.728,7.238,6.608,5.778,0.632,9.958,11.508,0.778,5.048,12.338,10.728,11.458,6.068
624,9.128,13.738,7.378,13.988,11.358,13.598,11.318,2.478,16.268,17.188,14.708,13.058,12.528,10.438,10.008,7.718,14.028,15.148,10.148,0.482,14.668,11.998,12.238,11.358,14.618,13.738,12.288,11.068,10.538,8.888,13.348,11.118,8.008,12.578,12.528,13.548,11.218,11.218,10.638,6.848,8.888,11.658,12.378,12.578,9.468,13.648,8.548,7.088,13.688,12.288,8.788,11.408,7.138,10.538,7.378,16.748,12.678,15.248,8.398,13.108,5.678,10.198,10.928,10.198,11.168,8.598,13.648,14.668,10.298,6.898,10.678,14.078,13.208,7.238,5.588,8.498,12.578,5.778,0.537999999999999,11.408,7.818,9.618,8.008,15.638,10.928,6.948,11.068,11.168,8.788,6.458,9.958,8.598,12.768,12.818,10.198,9.278,6.068,2.918,4.078,12.238
632,5.048,12.578,17.868,13.738,8.938,11.458,15.728,6.558,7.378,11.748,12.088,11.118,18.258,14.568,4.328,2.478,10.438,12.578,6.218,9.568,11.458,5.638,12.038,14.668,10.678,7.428,1.798,14.858,11.558,9.708,11.018,10.388,11.168,14.278,9.958,4.228,5.928,8.498,16.508,12.478,0.488000000000001,10.928,14.178,17.188,11.698,9.328,2.338,10.198,4.128,4.568,11.218,6.998,0.388000000000001,4.028,7.338,12.478,15.438,4.568,15.148,0.978000000000001,6.218,7.478,12.678,4.618,10.978,10.438,6.748,6.318,3.788,6.408,5.298,16.698,6.318,0.678,14.328,17.288,9.908,18.058,12.818,3.008,12.968,6.408,8.788,8.258,2.918,16.118,8.648,9.958,5.348,11.268,1.268,4.028,5.638,12.238,12.038,12.868,10.638,4.178,0.248,8.788
633,17.528,18.498,15.538,16.998,18.548,18.548,18.448,18.498,12.338,18.448,18.498,14.518,17.138,18.258,17.868,18.498,18.348,7.188,18.108,17.428,18.308,13.688,14.028,16.698,17.088,17.868,14.568,8.938,18.548,18.208,12.528,7.188,18.308,16.608,17.768,7.138,16.748,18.208,7.868,18.448,9.758,15.828,17.088,12.378,14.278,7.718,11.608,15.538,15.828,4.758,11.998,12.428,14.368,18.398,12.768,6.798,3.448,8.788,6.268,5.438,1.458,15.248,12.478,5.298,9.908,8.648,15.098,3.988,14.758,11.408,8.108,2.868,4.028,12.188,1.458,16.118,5.388,4.958,3.498,3.838,6.168,4.278,14.328,11.268,7.138,6.118,8.498,7.138,5.008,4.128,8.598,0.638000000000001,0.248,14.278,6.798,2.718,1.068,6.018,3.988,0.532000000000001
635,12.188,13.258,10.438,10.298,5.928,13.348,12.678,10.538,12.238,16.318,17.428,9.328,10.638,12.038,4.708,12.868,0.148000000000001,13.888,2.678,1.848,6.698,9.028,10.928,6.898,6.698,7.088,12.378,10.678,10.878,9.618,5.148,17.578,13.058,16.168,2.038,8.058,5.008,12.718,12.628,4.958,0.00800000000000012,17.188,8.058,8.448,10.978,1.608,7.578,14.328,4.858,11.798,2.428,8.498,0.828,15.098,9.278,1.508,7.868,12.088,0.0420000000000006,6.408,6.358,2.088,12.678,8.548,8.108,6.168,6.408,13.208,0.297999999999999,0.148000000000001,0.978000000000001,0.588,5.348,10.638,11.318,1.408,6.318,14.858,6.458,6.218,6.558,8.058,10.978,0.0479999999999993,7.378,14.758,11.268,5.728,8.738,7.428,0.778,0.978000000000001,7.868,7.528,10.298,11.698,7.478,4.618,5.488,2.628
